MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,4,1/12/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2110.0,-7.0,0,0,N,113.0,607,,,,0.0
1,4,1/12/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1627.0,-12.0,0,0,N,111.0,607,,,,0.0
1,4,1/19/23 0:00,AA,3518,MQ,3518,ORD,SYR,1353,1635,1711.0,36.0,0,0,N,102.0,607,0.0,36.0,0.0,0.0
1,4,1/19/23 0:00,AA,4769,YX,4769,ORD,SYR,1931,2225,2211.0,-14.0,0,0,N,114.0,607,,,,0.0
1,4,1/19/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1430.0,1.0,0,0,N,73.0,209,,,,0.0
1,4,1/19/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,21.0,74.0,0,0,N,72.0,209,0.0,57.0,0.0,0.0
1,4,1/19/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1841.0,-18.0,0,0,N,161.0,1053,,,,0.0
1,4,1/19/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,100.0,66.0,0,0,N,84.0,209,0.0,40.0,19.0,0.0
1,4,1/19/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1935.0,94.0,0,0,N,86.0,209,0.0,9.0,44.0,0.0
1,4,1/19/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1100.0,-15.0,0,0,N,85.0,209,,,,0.0
1,4,1/19/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2115.0,-2.0,0,0,N,113.0,607,,,,0.0
1,4,1/19/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1637.0,-2.0,0,0,N,111.0,607,,,,0.0
1,4,1/26/23 0:00,AA,3518,MQ,3518,ORD,SYR,1353,1635,1659.0,24.0,0,0,N,102.0,607,7.0,0.0,17.0,0.0
1,4,1/26/23 0:00,AA,4769,YX,4769,ORD,SYR,1931,2225,2314.0,49.0,0,0,N,114.0,607,11.0,38.0,0.0,0.0
1,4,1/26/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1437.0,8.0,0,0,N,73.0,209,,,,0.0
1,4,1/26/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2254.0,-13.0,0,0,N,72.0,209,,,,0.0
1,4,1/26/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1937.0,38.0,0,0,N,161.0,1053,0.0,0.0,34.0,0.0
1,4,1/26/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,33.0,39.0,0,0,N,84.0,209,0.0,20.0,6.0,0.0
1,4,1/26/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1743.0,-18.0,0,0,N,86.0,209,,,,0.0
1,4,1/26/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1052.0,-23.0,0,0,N,85.0,209,,,,0.0
1,4,1/26/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2133.0,16.0,0,0,N,113.0,607,0.0,1.0,0.0,0.0
1,4,1/26/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1655.0,16.0,0,0,N,111.0,607,0.0,16.0,0.0,0.0
1,5,1/6/23 0:00,AA,3518,MQ,3518,ORD,SYR,1305,1602,1702.0,60.0,0,0,N,117.0,607,0.0,48.0,8.0,0.0
1,5,1/6/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1505.0,36.0,0,0,N,73.0,209,0.0,0.0,5.0,0.0
